Brand,title,list_price,sale_price,rating,times_evaluated,ships_from,feature_headers,feature_values
SAMSUNG,"SAMSUNG Galaxy S23 Cell Phone, Factory Unlocked Android Smartphone, 256GB Storage, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Lavender",859.99,799.99,--,--,Amazon.com,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","SAMSUNG
Samsung Galaxy S23
Unlocked for All Carriers
Android 13.0
5G
256 GB
Bluetooth, Wi-Fi, USB, NFC
Lavender
6.1 Inches
GSM, CDMA, LTE"
SAMSUNG,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",549.95,274.7,4.1,3292,"Device Giant
RE-CELL","Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","SAMSUNG
S21
Unlocked
Android
5G
128 GB
Wireless, Bluetooth
PHANTOM GRAY
6.2 Inches
GSM"
SAMSUNG,"Samsung Galaxy Note 10+ Factory Unlocked Cell Phone with 256 GB (U.S. Warranty), Aura Glow (Silver) Note10+",--,1017.2,4.6,3918,Amazon.com,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Samsung Electronics
Note 10+
Unlocked
Android
4G, 3G,2G
256 GB
Wireless, Bluetooth
Aura Silver
6.8 Inches
Wi-Fi"
SAMSUNG,Samsung Galaxy S10 Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Fingerprint ID and Facial Recognition | Long-Lasting Battery | Prism Black (SM-G973U1ZKAX),799.99,749.99,4.6,3881,"Amazon
Jazzer Shack","Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","Samsung Electronics
S10
Unlocked
Android 9.0
4G
128 GB
Wireless
Black
6.1 Inches
Wi-Fi"
SAMSUNG,"SAMSUNG Galaxy S21+ Plus 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 8K Video 12MP High Res, Phantom Black",999.99,799.97,4.6,2628,Reliant Cellular,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","SAMSUNG
T2
Unlocked
Android
5G
128 GB
Wireless, Bluetooth
Phantom Black
6.7 Inches
GSM"
SAMSUNG,"SAMSUNG Galaxy S22 Ultra Cell Phone, Factory Unlocked Android smartphone, 256GB, 8K Camera & Video, Brightest Display Screen, S Pen, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black",1299.99,1099.98,4.6,1196,Celltraders,"Brand
Model Name
Wireless Carrier
Operating System
Cellular Technology
Memory Storage Capacity
Connectivity Technology
Color
Screen Size
Wireless network technology","SAMSUNG
S22 Ultra
Unlocked
Android 12.0
LTE, GSM, WCDMA, CDMA, HSPA, EV-DO
256 GB
Bluetooth, Wi-Fi, USB, NFC
Phantom Black
6.8 Inches
GSM, CDMA, LTE"
SAMSUNG,"SAMSUNG Galaxy Note 20 Ultra 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, S Pen Included, Mobile Gaming, 6.9” Infinity-O Display Screen, Long Battery Life, US Version, Mystic Black",--,969.98,4.6,1008,All-Out Mobile,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","SAMSUNG
Note 20 Ultra 5G
Unlocked
Android
5G
128 GB
Wi-Fi
Mystic Black
6.9 Inches
GSM"
SAMSUNG,"Samsung Galaxy Note10+ 4G Hybrid-SIM 256 GB 6.8-Inch Android Smartphone (Aura Black, 256GB)",--,1449.99,4.6,253,Fuzion Electronics CA,"Brand
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology
SIM card slot count","SAMSUNG
Unlocked
Android
4G
256 GB
Wi-Fi
Aura Black
6.3 Inches
GSM, Wi-Fi, CDMA
Dual SIM"
SAMSUNG,"Samsung Galaxy A52 5G (128GB, 6GB) 6.5"" Super AMOLED, 64MP Quad Camera, Voice Over LTE GSM Unlocked (T-Mobile, AT&T, Global) International Model A526W (Awesome Black)",--,577.88,4.6,242,Triplenet Pricing INC,"Brand
Model Name
Wireless Carrier
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology
Formfactor","SAMSUNG
A52 5G
Unlocked for All Carriers
4G
128 GB
Wi-Fi
Black
6.5 Inches
GSM, LTE
Smartphone"
SAMSUNG,Samsung Galaxy S10 (SM-G973F/DS) 128GB 8GB RAM International Version - Prism Blue,--,589,4.6,229,Amazon,"Brand
Model Name
Wireless Carrier
OS
Cellular Technology
Memory Storage Capacity
Connectivity technologies
Color
Screen Size
Wireless network technology","SAMSUNG
SM-G973FZBDDBT
Deutsche Telekom
Android 9.0
2G
128 GB
USB
Prism Blue
6.1 Inches
GSM"
